Type,Question
how many appearances,How many appearances did Lee Williamson make for Mansfield Town?
which tv show,Which TV show was furst telecasted in 2012 with English dubbing and Chinese subtitles?
how did neeraj,How did Neeraj Chopra perform at the 2018 Commonwealth Games?
what was dave,"What was Dave Serrano's overall record at UC Irvine, and how many seasons did he coach at that school?"
which short film,Which short film was released in 2014 a sequel to How To Train Your Dragon?
who voiced fatso,Who voiced Fatso in Casper and Casper;A spirited beginning?
how did the,"How did the movie, Boo 2! A Madea Halloween perform at the Golden Raspberry Awards?"
what were the,What were the dates of the Nicki World Tour?
which discography singles,Which discography singles did The System release in 1987 and 1983?
what single did,"What single did Big Brovaz release in 2007, and which album was the song off?"
which club did,Which club did Tim Steele move to from Shrewsbury from 1988-89?
what award did,What award did Abbas win and nominated for a the 8thGuamee Film Awards?
what song did,What song did Ronkini Gupta sing in 2017 for Dry Day?
in which place did,In which place did Iveta Mazáčová finish the 200m at the 2006 European Athletics Championships?
in which films did,In which films did Natalie Dormer act as Cressida in 2014 and 2015 and as Sara Price Jess Price in 2016?
what place did,What place did Keizo Yamada get at the 1952 Summer olympics?
how many votes,How many votes did UK Independence Party candidate John Beirne take?
what events were,What events were present at the 1921 Women's Olympiad?
what was the,What was the highlight of Walter Rothensies 1919–20 season?
how did the,How did the musical gypsy do at the 2015 London revival in terms of awards and nominations?
what years respectively,"What years respectively did Bel participate in the Escrito nas Estrelas, as Dr. Virginia and in the O Astro, as Sílvia?"
who won the,Who won the election and with what percentage of the vote?
how much percent,Ron won how much percent of votes
what day was,On what day was Emilia announced as the runner-up with 46.1% of the votes?
which parties did,"Which parties did Bondevik's First Cabinet consist of, led by Prime Minister Kjell Magne Bondevik?"
which fourth division,With which Fourth Division team did Freddie Goodwin play in the 1966-67 season?
in what year was,In what year was Drake's song featuring Future nominated for Album of the year?
what were the,What were the start and end dates of Reba on the WB and the CW?
what records does,What records does Fredrik Stillman hold?
how did the,How did the National Smallholders and Agricultural Labourers Party and the Christian National Union perform in the 1920 Hungarian parliamentary election?
which actor played,"Which actor played in the Lara com Z, and as Alice in the Fina Estampa in 2011?"
what speed does,At what speed does David L. Bruce-Brown run?
what was the,"What was the time and finishing place for Matylda Kowal at the 2012 Olympics, whilst competing in the 3000 metre steeplechas?"
what award show,On what award show did Dewanto earn his first 2012 Favorite Supporting Actor trophy?
where did madaí,"In 2005, where did Madaí Pérez finish, what were his stats and in what competitions did he participate in?"
which leagues did,Which leagues did Bates Battaglia play for in the 2003-04 and 2004-05 seasons?
how did pierre,How did Pierre Pilote finish his career?
how much did,How much did Dwight D. Eisenhower win by in the 1956 Illinois election?
who finished in,Who finished in 37th place at the Lebanon at the 2010 Winter Olympics?
who managed the,Who managed the Pittsburgh Pirates from 2001 to 2005 and Seattle Mariners from 2014 to 2015?
in which film does,In which film does Aarif Rahman play Bruce Lee?
how did raevyn,How did Raevyn Rogers perform at the 2018 USA Indoor Track and Field Championships?
how do one,How do one get Fox broadcast?
what was joe,What was Joe Canning's score for Galway in 2016?
what awards did,What awards did Mr. Endowed win during the 2011 Channel O Music Video Awards?
in which year did,In which year did the La Madame series premiere?
in which two 2016,In which two 2016 television series did Neil Sandilands have the roles of “Titus” and “Paco”?
who improved to,Who improved to 30th place at the 2013 World Championships?
when was the,When was the After hours remade for the new Twilight Zone?
what was bill,What was Bill Hajt play record for the Buffalo Sabres?
what was the,What was the result of the electoral run off between Cruz Bustamante and Arnold Schwarzenegger?
what were ricky,What were Ricky Robertson's ratings in the high jump?
how many appearances,How many appearances has Mattias Moström made for Molde?
how many votes,How many votes did Sestak win by in the 2010 United States Senate Democratic primary election in Pennsylvania?
what classic was,"13 May 2016,what classic was relelased by OWSLA?"
who won the,"Who won the 1998 Taiwan legislative election, and how many seats did they win out of the overall total?"
which labour representative,Which labour representative beat Conservative Michael Morris and by how much of the majority did they win by?
what is the,What is the length in km and how many stations make up The Sendai Subway Namboku Line?
which film earned,Which film earned Yalitza Aparicio an academy award nomination for Best Actress?
in which two ice,In which two Ice Age films did Wanda Sykes have voice roles as Granny in 2012 and 2016?
who released the,"Who released the single ""Cartwheels"" in 2016?"
what does the,What does The Cross Island Parkway run through?
what were the,What were the stats for Cachová for which he won the silver medal in the European U23 Championships?
what was eddie,What was Eddie Cameron's overall basketball record and where did he coach over the course of his career?
how many appearances,How many appearances did Ken Thomson make for Stoke?
who were the,Who were the members of the  Salford and Eccles representatives to parliament?
which song won,At the 2002 Latin Grammy Awards which song won the Best Rock Song award?
which character did,Which character did Nedim Jahić play in the 3017 film Kong: Skull Island?
what was ad,What was Ad Rutschman's career record after 1991?
who won the,Who won the 400 m final at the 015 Asian Athletics Championship?
when did cartoon,When did Cartoon Network air Total Drama All-Stars and Teletoon?
what percentage did,What percentage did Manoogian defeat David Wolkinson by?
how far did,"How far did Keturah Orji triple jump at the 2016 Olympics, and what place did she finish?"
who made 139,"In the 2014-2015 season, who made 139 appearances for the Partick Thistle club?"
what was the,What was the compression ratio when the fuel injection was 38mm?
how did feitosa,How did Feitosa do at the The 2011 Pan American Games?
where did luchia,Where did Luchia Yishak place in the 3000m in the 1991 All-Africa Games?
is very more,this study is very more good
what awards did,What awards did the the song Weapon of Choice win?
what role did,What role did Pugh play in Outlaw king in 2018?
what years did,"What years did Busters' singles ""Dream On"" and ""Grapes"" come out?"
what seat replaced,What seat replaced Ballarat West and which party won it in the 2014 Victorian election?
what was nivedhitha,"What was Nivedhitha's second Tamil film, and which year did it come out?"
is very very,this is very very good complete
where did sass,Where did Sass Petrazzi play in the years 2014 and 2015?
is very very,this is very very good complate
which awards did,"Which awards did ""Azonto"" win or was nominated for at the 2013 Channel O Music Video Awards?"
what was the,What was the other movie that his work was nominated for?
what role did,What role did lockhart play in the fill Truth in 2013?
what is the,What is the quality number for this equation?
what was corbett,What was Corbett’s record from 1971 to 1979?
who played boba,Who played Boba Fett in the 1980 Star Wars Film?
where did holly,Where did Holly Bruder compile a record of 145-105?
how many families,How many families and total population are in Bhagawanpur ?
what were bob,"What were Bob Ferguson's scores for his final two rounds, and where did he finish relative to Fernie?"
what events did,"What events did Oludamola Osayomi compete in at the 2010 Continental Cup, and what places did he finish?"
what were the,What were the results of the 2011 elections in Extremadura and Castilla–La Mancha?
what year and,What year and what schools joined the Flint Metro League? And what conference did they leave?
what years did,What years did Jack Wink play for Wayne state and what were his overall records and championships?
how high did,How high did The State and Curb reach in the Billboard 200?
what countries was,"What countries was Best Thing I Never Had released in on September 2, 2011?"
what years did,What years did Ryan Kwanten appear in the films Flicka and as Jamie Ashen in Dead Silence?
what film did,What film did Sally Lindsay play Michelle in the year 2000?
is very very,this is very very good complate
how many units,How many units did Entre a Mi Mundo sell in Mexico and the United States?
what year was,What year was this award granted?
what other theatre,What other theatre award did into the woods win?
which song did,For which song did Elvana Gjata win an award in 2012?
how well did,"How well did Emily Chebet do in the 10,000m event in the years 2006 and 2007?"
what nominations did,What nominations did Shannon Noll receive in the 2004 ARIA Music Awards?
what role did,"What role did Billy Chapin play in the movie ""The Night of the Hunter""?"
which album do,"On which album do the songs ""There"", ""The Apple Stretching"" and ""On 115"" feature?"
what places did,What places did Grete Kirkeberg finish in the 1986 European Championships and the 1997 World Championships?
what was the,What was the name of Chloe's album?
where did liang,Where did Liang transfer after the 2015 season?
what were the,What were the physical and digital release dates for the album Beni Durdursan mı? which record company released it?
how well was,"How well was jungs performance in Right Now, Wrong Then received in award shows?"
who was andrey,Who was Andrey Ruzavin in the Junior Championships of 2004 and 2005?
how did nigel,How did Nigel Forman do in the election for the conservative party?
what is the,What is the size of the engine in the meadoes Frisky?
what two awards,"What two awards was Plan B nominated in 2010, and for what two pieces of work?"
what year did,"What year did Wes Anderson receive a Best Director nomination, and what movie was it for?"
which music awards,Which music awards has Lee Tzsche won?
in what show and,In what show and in what year did B. J. Britt have a recurring role as Will Baker?
when was mubarak,When was Mubarak Al-Nubi the runner up in the Asian games and how many sepearate Asian games did he participate in?
what score,"In the 1984 PGA Championships, which players tied for the T1 place and with what score?"
who was tenth,"who was tenth in the 10,000 m at the 2005 World Championships?"
who was the,Who was the recipient of this award?
which two athletes,Which two athletes set 3.71 metres records in the pole vault at the 1908 Summer Olympics?
which parish and,Which parish and deanery is Norheim Church a part of?
who was the,Who was the person that constructed the building?
how did the,How did The Smeezingtons do at the 2011 Grammy awards ?
what was the,What was the 2014 election result of Lok Sabha constituency?
how did laurent,How did Laurent Carnol perform at the 2012 Summer Olympics?
what were the,What were the two different companies that Inglehart performed for in 2017?
what was the,What was the title of the collaboration between Mimi Page and Paris Blohm released in 2013?
how many points,"How many points did Drew Neitzel have, and how many points and rebounds did Raymar Morgan have?"
how many appearances,How many appearances and goals did Mitchell Cole for Steveange Borough?
when was rivera,When was Rivera nominated for an ALMA Award what was the category she was nominated in?
how many appearances,How many appearances and goals did Les Roberts make and score during his three years at Swindon Town?
which party and,Which party and representative was in place from 1983 to 1997 when Andy king took over ?
what is the,What is the orginin of this olympic gold medalist?
is very more,this study is very more good
does the jet,Does the Jet Airways 737 fleet include any 737 MAX aircraft?
what year was,What year was the CBR900RR introduced and what engine did it use?
which show directed,"Which show, directed by Adam Mckay did Nicholas Britell compose for in 2015?"
who held the,Who held the seat from 1945 to 1950 after taking it over from Pownall?
what role did,What role did Emma Rigby play in the 2012 Pramface TV series?
what dates and,"What dates and in what venue was the Nolza tour held in Seoul, South Korea?"
what 2010 television,What 2010 television series roles are Michelle Bai noted for?
what other category,What other category did the series win an award for?
which batc or,Which BATC or Joseph Jefferson awards did Christopher Jackson win or was nominated for?
what kind of,What kind of structured property was it?
in what position did,In what position did Tatjana Jelača finish the 2010 European Championships and the 2012 European Championships?
what was daria,What was Daria Gavrilova's ranking on the WTA Tour at the end of the year?
how many games,How many games did Lyons play between 1907-1915 while playing for Aston Villa?
how did the,How did the album Blessed do at the Headies in 2013?
what javelin throw,What javelin throw distance record did Norbert Rivasz-Tóth set in 2017?
is very very,this is very very good complete
how did ndama,How did Ndama do in the pentathlon at the 2019 European Championships?
how did hanne,How did  Hanne Haugland perform at the World Indoor Championships in 1997?
which 2014 kannada,Which 2014 Kannada and Vikraman Tamil films did Subiksha appear in?
what role did,What role did Richard Madden play in the National Theatre of Scotland?
who were the,"Who were the top two candidates in the 1972 Washington gubernatorial election, and what percentage of the vote did each receive?"
who lost the,Who lost the Sunderland MP seat and what were the election results?
what show did,"What show did Mari Morrow star in from 1992 to 1997, and who was her role?"
is very more,this study is very more good
what was the,"In the 1986 Bolivian referendum, what was the rejection and turnout percentages?"
what 2011 2013,"What 2011-2013 films are John Guleserian known for, some of which were directed by Drake Doremus?"
how many votes,How many votes out of the total did the winner Marcus Morton get in the 1839 Massachusetts gubernatorial election?
what was a,"What was A-Reece's debut album, and what were the four singles?"
when did ichizo,"When did Ichizo Nakata join the J1 League, and how many seasons did he play there?"
what team did,What team did Stuart Parnaby play for in the 2004-5 season?
how did andy,How did Andy Gonzales do at the 2011 Central American and Caribbean Championships?
what was flings,What was Flings Owusu-Agyapong achievement at the 2016 Olympics?
how productive was,How productive was Latimer during his career with the Bees?
what club and,What Club and what division did Jamie Clarke play for in 2011-2012 Football season?
who was in,Who was in All-PCC basketball selection in 1951?
which 3 colonias,"Which 3 Colonias have a population of 8,453, 13,572, and 3,204?"
what were the,What were the results of the Umerkote (Odisha Vidhan Sabha constituency) 2009 election?
what does the,What does the action of the 19th of December 1796 include?
what percentage of,In the Icelandic municipal elections what percentage of the total vote went to each of the top two parties?
what year did,"What year did Little Mix release ""Power,"" and who was the other artist that it featured?"
how did claudia,How did Claudia Isăilă perform at the 1994 IAAF Grand Prix Final?
what were the,What were the worldwide release dates of anthems in the US AND UK?
where and how,Where and how does the Sunken Meadow State Parkway connect to the NY 25 (Jericho Turnpike)?
what was the,What was the homestate of James Garfield?
what song did,What song did Slipknot receive the Grammy for Best Metal Performance for in 2006?
how many goals,How many goals did Grenville Morris score for the Nottingham Forest club?
is very more,this study is very more good
what platform was,What platform was Horizon Zero Dawn released for in 2017?
other,Wha were Kim Turner's achievements at the 1989 and 1991 World Indoor Championships?
what was the,What was the work that was nominated called?
what years were,"What years were the Škoda 1203, Škoda 1203 M, TAZ-Š 1203 and TAZ 1500 in production?"
who wrote the,"Who wrote the studio albums OU812, For Unlawful Carnal Knowledge and Balance?"
how far did,How far did Sally Pearson advance for in the 100 m and 100m hurdles at the 2007 World Championships and where was the event located?
what was the,What was the total percentage of votes won?
is very more,this study is very more good
what were the,What were the records set by Barkley at PENN state?
what other award,What other award did George Michael receive.
how long was,How long was the PD-4107 model of the GM Buffalo bus?
what film role,"In 2015, what film role was Seohyun cast in?"
how many goals,"How many goals and league games did Louis Page have prior to 1932, and what club did he move to in 1932?"
which seat was,Which seat was won by Charles Clarke in 1908 and by how many votes?
who won the,"Who won the 1993 Masters Tournament and with what score, and what did Bernhard Langer finish at?"
how many goals,How many goals were made in the 2010-2011 season?
what was the,What was the name of that team in  the 2013-2014 season?
what was the,What was the margin of error for the voter turnout?
is vryr more,this is vryr more coloring
when did ivo,When did Ivo Andrić-Lužanski serve as President of the Federation of Bosnia Herzegovina?
who scored adam,Who scored Adam McKay's film Vice in 2018?
what club did,"What club did Laurent Koscielny play for in 2013-14, and what division did he play in?"
how many candidates,"How many candidates were fielded to the United Progressive Alliance and INC, along with other UPA members?"
what was bobby,What was Bobby Wright's highest charting release and where did it appear on the charts?
how many tatra,How many Tatra T2 tramcar was produced between 1955 and 1962?
what were the,What were the singles released by Crash Test Dummies in 1999?
is very very,this is very very good complete
who is mohamad,Who is Mohamad Hasan?
which team is,Which team is the only team to win the tournament 3 times and the only team to win back-to-back titles?
what was fiorentina,"What was Fiorentina's turnover in 2009 and 2010, and how do they compare?"
what was jim,What was Jim Sochor's overall record between 1970 and 1988?
which competitions did,"Which competitions did Asaf Bimro enter in 1995, 1997, 2003, 2004 and 2007?"
which emmy golden,"Which Emmy, Golden Globe and Screen Actors Guild awards did Kathy Baker win for her work in Picket Fences?"
what did kiwanuka,What did Kiwanuka  win at the The HiPipo Music Awards?
who replaced rudolf,Who replaced Rudolf Beran on the 27 April 1939 and when did his successor then leave office?
in which two events,In which two events did Obadele Thompson set the Barbadian record and with what times did he finish?
what division of,What division of soccer did Williams play in?
how many seats,"How many seats, out of a possible 131, did The Republican Party of Armenia have in the 2003 Armenian parliamentary election?"
how did the,How did the hawks do in 2002 after their bad 2001 season?
how long did,"How long did George Washington Woodruff coach at Penn, and what was his overall record?"
what was that,What was that player's standing post season for Illinois state?
how did christa,"How did Christa Vahlensieck donat the 1977 Berlin Marathon, and the 1989 Vienna Marathon?"
what were the,What were the results of the 2006 New Brunswick general election?
other,Hat was the single released in 2014?
what individual did,What individual did she play as that won?
who was the,Who was the first guard to play 20 seasons in the NBA?
how many record,"How many record(s) did Mike Young compile as the head coach for 17-years, at Wofford College?"
what 2 reality,What 2 reality shows were produced by Tencent Video in 2018?
how well did,How well did Jeff Williams perform in the 1993 IAAF Grand Prix Final?
is very more,this study is very more good
what awards did,What awards did Serhat receive in 1995?
is very very,this is very very good complete
what were the,"In Fred Jordan's coaching record at The Citadel, what were the total wins, total losses, and 2006 team standing?"
what was the,What was the name of the divison league he played for?
what was michal,"What was Michal Haratyk's personal best at the IAAF Diamond League, Eugene, United States? And what year did it occur?"
is very more,this study is very more good
which party won,Which party won the 2000 Tanzanian general election by claiming 202 of the 231 constituency seats in the National Assembly?
how many league,How many league appearances and goals did Charlie Parke have during the period 1920-1929 and for which teams?
who performed in,Who performed in the Telugu film Bus Stop (2012) and played the title character in Kayal?
what division was,What division was Brentford apart of?
what album was,"What album was ""LLLD"" featured on and what was the year?"
what kind of,What kind of certification did it receive?
what roles did,What roles did Robertson play in 2015?
is very very,this is very very good complate
how did chloe,How did Chloe Lukasiak do at the “ 2015 Teen Choice Awards and at the 2015 Industry Dance Awards?
is very very,this is very very good complate
what two films,"What two films did Jesse Plemons appear in in 2018, and who directed Vice?"
what roles did,"What roles did Joran play in 2002, 2003-2006 and 2009-2011?"
which charleston buses,"Which Charleston buses serve Arthur Kill Road, Bricktown Mall?"
who took the,"Who took the boys, girls, over 25s and the groups to what cities?"
how well did,How well did Bowditch play when he was with the club Milton Keynes Dons?
what show did,"What show did Edward Hogg play Segundus in, and what year did it come out?"
which 1994 pj,"Which 1994 PJ & Duncan album included the single ""Let's Get Ready to Rhumble""?"
how many total,"How many total games did Doug Jarvis play for the Montreal Canadiens, Washington Capitals and Hartford Whalers in the National Hockey League?"
what was the,"In the 1974 Iowa gubernatorial election, who were the top two candidates and what was the percentage of vote for the winner?"
which team was,Which team was Omar Cisneros representing at the 2007 Pan American Games and what was his achievement there?
what is the,What is the last day of the The Eric Clapton World Tour?
what percentages were,"According to the 2002 census, how many people resided in Jablonica and what what percentages were male/female?"
how did luis,"How did Luis novo perform at the 2000 Olympics in Sydney, Australia?"
when did franz,When did Franz Beckenbauer manage Bayern Munich?
what events did,What events did Linet Masai compete in at the 2011 World Championships in Athletics?
what was the,What was the main role of the title Submarine.
how many people,"In 2002, how many people resided in Wymysłów, what percent were male, and what percent were female?"
in which season and,In which season and with which football club did Josh Brizell make his first Conference Premier appearance?
by how many votes,By how many votes did Biju Janata Dal defeat Srilokanath Rath in the 2014 election?
what films did,What films did Manjari Fadnis appear in during the period 2011-2012?
which pixie lott,"Which Pixie Lott album in which year encompasses the single ""Broken Arrow""?"
what were stephen,"At the 2010 general election, what were Stephen Timms's vote count and majority count?"
what film was,What film was Melati nominated for?
what were the,What were the dates and locations of the European Vulnicura Tour?
who were the,Who were the Jets' head coaches in the period 1990-94?
how many seasons,How many seasons did Vigneault play in the QMJHL and with who?
who holds the,Who holds the second place records for most runs in a season and what is the total?
how did friedkin,How did Friedkin do at the academy awards for his two movies?
how many seasons,"How many seasons did the TV series ""Homicide: Life on the Street"" run for and what was it succeeded by?"
what top ten,"What top ten singles were produced by the Mölling album ""Unexpected"" released in 2004?"
what show did,"What show did Jonas Armstrong play Nick in, and what year did it air?"
who was the,Who was the candidate of the Labour Party?
which film did,For which film did Erika Lust win the Move of the Year at the Feminist Porn Awards in 2012?
how many 1984,"How many 1984-85 playoff points, 1987-88 playoff assists, career playoff goals, career playoff assists, and career playoff points did Wayne Gretzky achieve?"
what were liza,What were Liza Weil's roles in the Gilmore Girls franchise?
who won the,Who won the 1847 New Jersey gubernatorial election?
how many more,How many more votes did the winner of the 2014 election get than the candidate who came in second?
where does the,Where does the Dunhuang railway run from and to and how long is it?
what type of,"What type of series was Slice of Summer, which network did it premier on, and in which year?"
which nj transit,Which NJ Transit bus routes service Bergenline Avenue?
how far up,"How far up the Top 100 Chart did the 2 singles from the album Crosby, Stills & Nash travel before they peaked?"
what club and,What club and division did Michael Jamtfall play for in 2006?
which tracks by,Which tracks by Pharrell William's appeared on the UK charts in 2006 and which album were they released on?
how many total,How many total votes did Jim Hunt receive in total?
what movie did,"What movie did Ann Blyth play Helen Morgan in, and what year did it come out?"
who were the,"Who were the two candidates, and what were their vote totals?"
what are the,What are the destinations for the 3 parkways that enter Farmington?
what were the,What were the top three picks from the 2006 New York Giants ?
what was c,"What was C. M. Newton's overall record at Vanderbilt, and which seasons did he lead them to the NCAA Tournament?"
how man total,How man total votes were casted?
what were the,What were the results of the 1949 Belgian general election for the chamber of representatives?
how many games,how many games with Williamson play for Arsenal?
what is the,What is the maximum power output of a 2011 Maserati GranTurismo V8 engine?
what were the,What were the names of Shea Fisher's 2007 debut single and album?
what two teams,"What two teams did Brandon DeFazio join in 2010-11, and which leagues were both teams in?"
what video game,What video game role did Shauntay Hinton play in 2007?
which 2011 l,"Which 2011 L'Aura album has an italian version of ""Total Eclipse of the Heart""?"
who were the,Who were the players and teams involved in Roster changes made on March 16 2016 by the Chicago Bears?
what was the,"What was the Miami Dolphins' record in 1973, and who did they beat in the Super Bowl?"
who won the,"Who won the election for Paddington North, and what was the majority vote difference?"
who won the,"Who won the Bulgarian parliamentary election, and how many seats did they win out of the total number of seats?"
how many yards,"How many yards, touchdowns and interceptions did Steven Sheffield compile, and what school did he play for?"
in what year and,"In what year and on what album was ""Beating Heart"" released by Ellie Goulding?"
in what year did,In what year did Teyba Erkesso win the Boston Marathon?
what races did,"What races did Gowry Retchakan win in 1992, and what were his times?"
what roles did,What roles did Cross play in the year 2006?
who hosted the,"Who hosted the 7th Annual Shorty Awards, what was the date and what was the venue?"
how well did,How well did Mubarak Hassan Shami perform at the 2005 World Half Marathon Championships?
what were the,What were the dates and cities of the last three February 2001 United Kingdom performances of the Reptile World Tour?
who had the,Who had the lowest scores in the 1968 Eisenhower Trophy?
what year did,What year did Shinji Tanaka move to J1 League club Urawa Reds and Japan Football League club Kyoto Purple Sanga respectively?
is very more,this study is very more good
how well did,"How well did Scritti Politti 's album, Cupid & Psyche 85 do in 1984 and 1985?"
what was the,What was the margin of error for candidate singh?
what position did,What position did Amy Cragg finish in the 2013 New York City Marathon and what was her finishing time?
which band released,"Which band released their single ""Man Scared"" in 1990 and the album Twist in 1991?"
which circulated united,Which circulated United States coins were issued in the copper 91.67% nickel 8.33% composition?
what year did,"What year did Philip Casnoff win an award, and what was the award?"
what number did,What number did that song reach in the US charts?
who did mark,Who did Mark Freer play for during his 122 game NHL career?
what season did,What season did Jevpavlovs appear in the ECHL and AHL playing for the Allen Americans and San Jose Barracuda?
what cars did,What cars did Bamber drive in the WeatherTech Sportscar Championship and the 24 Hours of Le Mans?
what was the,What was the result of the 1978 Colombian parliamentary election?
is very very,this is very very good complate
what was the,What was the fifth single on Jaria Burns's Album Burn Slow?
what was samal,What was Samal's population in 2015?
what team gary,What team  Gary Roberts part of in 2005-06?
is very more,this study is very more good
how many total,How many total parlimentary seats were appointed?
what years did,"What years did Pritchett release the albums ""Something Going On Here"" and ""Big Wheel""?"
what were the,What were the dates and distance of the 1973 Tour de France?
who manufactured all,Who manufactured all variants of the OM064 engine and in which years?
how many games,"How many games did Mekhloufi ,  Ferhaoui , Boudebouz, Dahleb and Salem play?"
who did pritam,Who did Pritam Kumar Singh play for in the 2015-16 season?
how was the,How was the song lose yourself received at the 2004 Grammys ?
who won the,Who won the 2010 Sibu by-election and by how many votes?
which bmw 5,"In 2000, which BMW 5-series models used 6-cylinder non-""TUB"" engines?"
how many overall,"How many overall players were sold, and what was the breakdown of Indian players versus overseas players?"
which province was,"To which province was Taché elected premier in 1856–1857, 1864–1865?"
which album was,"Which album was McNeil's song ""Believe"" recorded on and in which year was the song released?"
in what year did,In what year did Syracuse win its first national championship and against what opponent?
what total did,"What total did South Africa close on, and what was their lead?"
when,"The Monstercat's album titled, Monstercat Uncaged Vol. 2, featuring ""Party Don't Stop"" was released when?"
what roles did,"What roles did Amber Valletta play in 2003 and 2004, and what movies were they in?"
how was michielin,"How was Michielin's album, Riflessi di me was released?"
what three teams,What three teams did Don Ashman play for and how many total appearances did he make in the 1920s and 1930s?
how did bobby,How did Bobby Labonte do in NASCAR in 2000 and 1991?
what country was,What country was this based in?
what would you,What would you call The Astra satellites?
where did manuel,Where did Manuel Olmedo place at the World Junior Championships in 2002?
other,"_______is a group representation constituency that from 1988 to 1997 comprised Kuo Chuan,Boon Teck and Toa Payoh"
what year was,What year was Warren Moon's 291st and final touchdown pass made?
how many goals,How many goals did Milito score in his 171 appearances during his five seasons with inter?
how many awards,How many awards has Hard Candy won?
what mario song,What Mario song was nominated for a Teen Choice award twice in 2004?
who won the,Who won the Rotterdam Marathon in 1995 and what was their official time?
what albums and,"What albums and/ or EP did Sielun Veljet record in 1986 and 1987, and what alias did he use?"
in what season did,In what season did Müller transfer from Hamburger SV of Bundesliga and join Eintracht Frankfurt?
who voiced anna,"Who voiced Anna in the video game, Kingdom Hearts III?"
what awards did,What awards did The Mohammed Ali Naqvi's Shame win?
who as the,"In 2017, Channel 4 filmed the show Streetmate with who as the presenter?"
which first division,Which first division team did Jack Eccles play for in the 1897–98 season?
what singles did,"What singles did Cross's Album ""Another Page"" contain in 1983?"
which role in,"Peter Francis James portrayed Thurgood Marshall in American Experience episode of ""Simple Justice"" (1993) and played which role in The Wedding (1998)?"
what percent of,What percent of the popular vote did Dwight D. Eisenhower win in the 1952 United States presidential election in Kansas?
by how many votes,By how many votes did Keith Joseph win the 1956 Leeds North East by-election?
in which 2015 film,In which 2015 film directed by Sarmad Khoosat did Mahira Khan act?
how many goals,How many goals did Tommy McLaren score for Vale in 369 games ?
what time did,What time did Siraj Gena use to win the Rome City Marathon in 2010 ?
what year did,"What year did Cheat codes release their album ""Level 1"" which includes ""I Love It"" and ""Balenciaga""?"
in which films did,In which films did Janel Moloney appear in the years 2002 and 2013?
what is the,What is the destination of the Elsenhower Parkway?
what are the,What are the marathon wins of Seko?
how many appearances,How many appearances and goals did O'Callaghan make for Stoke in 1984-1985?
what is the,What is the name of the 1995 single?
who won the,Who won the Big Sky Championship in 1990?
in what year,Sweet kisses was released in what year?
what were the,"What were the records of Anita Marton, Gong, and Carter during the 2017 World Championships, and which event did they participate in?"
what year,chester creek branch was a 7.25-mile railroad that operated from which year to what year?
what was hussain,What was Hussain's role in Junior bake off in 2016?
who were the,Who were the top three in the 2003 Macau Grand Prix?
what is 90sr,What is 90Sr's half life?
where is palm,Where is Palm Beach Gardens located?
who won the,Who won the 2017 New York City mayoral election?
what organizations and,What organizations and award categories was speak now nominated for and what award did it win?
who won the,Who won the gold for the 4 × 100 m event?
who won the,Who won the  2007 European Athletics U23 Championships?
what is the,What is the percentage victory margin did Ford get over Cater?
what time,"Ayad Lamdassem was running for this country at the 2012 London Olympics, coming in what place at what time?"
what was the,What was the duration of the Beautiful Intentions Tour ?
other,Pakatan Harapan's Wong Siew Ki polled______ votes to MCA's Tan Chee Teong's.
what does the,What does the The Possessive determiner chart demonstrate?
who won the,Who won the Grand Prix Final of the 1500 m?
by how much percentage,By how much percentage of votes did Republican's DeForest Richards defeat Democrat George T. Beck with?
how many games,How many games did Smith play in the year 1993-94?
what season was,What season was split between the San Antonio Rampage of AHL ?
how many passengers,How many passengers can the A340-500 fly?
how many appearances,How many appearances did Ryan Dickson make in Brentford during the 2007–08 season and the  2008–09 League Two?
how many seats,How many seats did the MPS-led coalition use in gaining the majority in the 2011 Chadian parliamentary election?
how many members,How many members were elected in the 2017 Republic of the Congo parliamentary election?
how many votes,How many votes separated each candidate?
who placed 11th,Who placed 11th in 5000 m at the 2005 World Championships?
in what year did,"In what year did Trippie Redd released the single""Topanga""?"
what are the,What are the engine choices for the Ram 3500?
where is centerport,Where is Centerport located?
who did denyer,Who did Denyer competewith in the Australian GT Championshipin 2015?
how many percent,How many percent vote did McCaul win with ?
which award in,'The Rules of Attraction' was nominated for which award in 2015?
what competitions and,What competitions and event(s) as Lee McConnell accumulated relay medals from?
which rockstar vienna,Which Rockstar Vienna games was published by Rockstar Games ?
what award did,What award did Lee win in 2010?
in what year did,in what year did the communist party got 19.19%?
what are some,What are some films that Kenney-Silver starred in?
how many winning,How many winning percentage did Kevin Stallings have as a coach for Illinois State?
what nominations and,What nominations and wins did Crimson Peak receive?
what year was,What year was Margaret Ngotho the double bronze medalist in the 1500 metres and 3000 metres events at the African Championships?
does the lga,"In the Xeon brand, how many cores does the LGA 771 have?"
how many seasons,How many seasons did Barnes coach Ole Miss for?
what s the,What's the tpi and bpi of HD?
how many percentage,How many percentage of votes did Democrat William Jennings Bryan and Republican William McKinley win in the 1900 United States Presidential election in Missuouri?
where did retief,Where did Retief Goosen at the 2001 U.S. Open?
what programs was,What programs was Ruais a host and a performer on GMA Network in 2012?
who hosted the,Who hosted the games for Deccan Chargers in the 2010 Indian Premier League?
which three places,Alfonso III was king of which three places starting in 886?
in what year did,in what year did Bali( featuring Nav) from the album?
how many appearances,How many appearances and goals did Tony Waddington have while he played seven seasons in the Third Division North?
